Наименование;Артикул;Цена;Наличие
"Вафельница ""Бабочки"" на палочках угол 90 град. Neumarker 12-40737DT"; 12-40737DT;83 676.00 ;Есть
"Вафельница ""Маленькое сердце"" диам. 15 см. угол 90 град. Neumarker 12-40719DT"; 12-40719DT;83 676.00 ;Есть
"Вафельница ""X-вафли"" угол 90 град. Neumarker 12-40704DT"; 12-40704DT;83 676.00 ;Есть
"Вафельница ""Кант"" угол 90 град. Neumarker 12-40714DT"; 12-40714DT;83 676.00 ;Есть
Стол с мойкой для посудомоечной машины Sammic SL-900; 1310034;18 693.57 ;Есть
"Вертикальная вафельница Neumarker ""Helios"" 12-40460 с формой ""Croustilados"" 31-40461"; 12-40460+31-40461;92 081.13 ;Есть
Картофелечистка Sammic PP-12+; 1000421;99 074.20 ;Есть
Овощерезка профессиональная Sammic CA-301 в комплекте с 6 дисками ; 1050021;157 037.37 ;Есть
Стаканомоечная машина Sammic SL-20D; 1300935;117 012.88 ;Есть
Посудомоечная машина Sammic SL-23; 1300960;139 963.56 ;Есть
Планетарный миксер Sammic BE-10; 1500210;216 049.55 ;Есть
Малая витрина-дисплей для выкладки бутылочек на лед (Display Small); 33.905.000 ;144 830.69 ;Есть
Соковыжималка Zumex Multifruit Cherry; 06931 ;10 058.92 ;Есть
Съемная форма для тарталетницы T13 31-40603; 31-40603;153 287.31 ;Есть
Съемная форма для тарталетницы T15 31-40604; 31-40604;153 287.31 ;Есть
Съемная форма для тарталетницы T24 31-40608; 31-40608;153 287.31 ;Есть
Съемная форма для тарталетницы T30 31-40605; 31-40605;153 287.31 ;Есть
Вафельница Baking System II Neumarker 12-40702DT; 12-40702DT;154 533.55 ;Есть
Овощерезка профессиональная Sammic CA-401 в комплекте с 6 дисками; 1050059;105 270.48 ;Есть
Планетарный миксер Sammic BE-20; 1500220;129 975.32 ;Есть
Большая витрина-дисплей для выкладки бутылочек на лед (Display Large); 33.910.000 ;230 198.02 ;Есть
Купольная посудомоечная машина Sammic SL-900; 1301030;242 460.55 ;Есть
Профессиональная овощерезка-куттер Sammic Combi CK-401 в комплекте с 6 дисками; 1050330;105 270.48 ;Есть
Встраиваемый льдогенератор WESSAMAT BLUE-LINE W29LE; 4026;26 260.02 ;Есть
Нож для фруктов из нержавеющей стали Magefesa Roda 12 см; 01CURODA400;294.98 ;Информация не найдена
Диспенсер для стаканов и крышек на 4 отделения HOGA-PL3005BK; HOGA-PL3005BK;1 200 ;Информация не найдена
Черный 6-ти секционный органайзер для стаканов, крышек, салфеток и порционных продуктов HOGA-7UPRIGHT6BLK; HOGA-7UPRIGHT6BLK;1 200 ;Информация не найдена
Набор столовых приборов из нержавеющей стали Magefesa Sevilla 24 шт.; 01CUSEVIL24;2 709.78 ;Информация не найдена
Диск FR-3+ терка с отверстиями 3 мм.; 1010311;4 806.92 ;Информация не найдена
Бамбуковый диспенсер для стаканов и крышек Mind Reader CUPDISPBM-BRN; CUPDISPBM-BRN;3 999 ;Информация не найдена
Сменный картридж BRITA PURITY C50; 1002730;9 613.84 ;Информация не найдена
